Class,Precision,Recall,mAP50,mAP50-95
asteromphalus_hyalinus,1.0,1.0,0.995,0.9885924489795919
ceratium_furca,0.9950212899950778,1.0,0.995,0.9199749307410429
ceratium_trichorecos,1.0,1.0,0.995,0.9949999999999999
chaetoceros_curvisetus,0.9875963646150752,1.0,0.995,0.9806136363636364
coscinodiscus_oculus_iridis,0.9899830446379237,1.0,0.995,0.9949999999999999
dinophysis_caudata,0.996561852905599,1.0,0.995,0.9777881150567762
dinophysis_miles,0.9941836071133839,1.0,0.995,0.9903989097439178
eucampia_zodiacus,0.988114488471269,1.0,0.995,0.9896413809523811
noctilluca_scintillans,0.9903357990842586,1.0,0.995,0.9857777379124203
odontella_mobiliensis,0.9897926183974903,1.0,0.995,0.9934658333333333
ornithocercus_thumii,0.9923013014039236,1.0,0.995,0.9931306677018634
planktoniella_sol,0.9904444670014996,1.0,0.995,0.9949999999999999
podolampas_bipes,0.991228902161965,1.0,0.995,0.9949999999999999
proboscia_alata,0.994345751243897,1.0,0.995,0.9882190264957934
prorocentrum_micans,0.9918004631669065,1.0,0.995,0.9949999999999999
protoperidinium_oceanicum,0.9911608675569674,1.0,0.995,0.9949999999999999
pseudo_nitzschia,0.9945075938738592,1.0,0.995,0.9152909053884711
skeletonema_costatum,0.9930001598704494,1.0,0.995,0.9796266103896103
thalassionema_nitzschioides,0.9917741912722062,1.0,0.995,0.9784819313794315
trichodesmium_erythraeum,1.0,0.9878921246921495,0.995,0.9255884466107822
all,0.9931076381385875,0.9993946062346074,0.9950000000000001,0.9788295290524525
